code,name,description,refreshed_at,from_date,to_date
KILITCH,Kilitch Drugs (India) Limited,Historical prices for Kilitch Drugs (India) Limited<br><br>National Stock Exchange of India<br><br>Ticker: KILITCH<br><br>ISIN: INE729D01010,2018-12-10 13:39:00,2010-09-29,2018-12-10
KINETICMOT,Kinetic Motor Company Limited,"Historical prices for Kinetic Motor Company Limited (KINETICMOT), (ISIN: INE267B01015),  National Stock Exchange of India.",2014-03-31 17:45:48,2004-09-20,2013-03-21
KINGFA,Kingfa Science & Technology (India) Limited,Historical prices for Kingfa Science & Technology (India) Limited<br><br>National Stock Exchange of India<br><br>Ticker: KINGFA<br><br>ISIN: INE473D01015,2018-12-10 13:39:00,2016-11-15,2018-12-10
KIOCL,KIOCL Limited,Historical prices for KIOCL Limited<br><br>National Stock Exchange of India<br><br>Ticker: KIOCL<br><br>ISIN: INE880L01014,2018-12-10 13:39:00,2017-02-09,2018-12-10
KIRIINDUS,Kiri Industries Limited,Historical prices for Kiri Industries Limited<br><br>National Stock Exchange of India<br><br>Ticker: KIRIINDUS<br><br>ISIN: INE415I01015,2018-12-10 13:39:00,2011-03-28,2018-12-10
KIRLOSBROS,Kirloskar Brothers Limited,Historical prices for Kirloskar Brothers Limited<br><br>National Stock Exchange of India<br><br>Ticker: KIRLOSBROS<br><br>ISIN: INE732A01036,2018-12-10 13:39:00,2010-04-20,2018-12-10
KIRLOSENG,Kirloskar Oil Engines Limited,Historical prices for Kirloskar Oil Engines Limited<br><br>National Stock Exchange of India<br><br>Ticker: KIRLOSENG<br><br>ISIN: INE146L01010,2018-12-10 13:39:00,2010-12-24,2018-12-10
KIRLOSIND,Kirloskar Industries Limited,Historical prices for Kirloskar Industries Limited<br><br>National Stock Exchange of India<br><br>Ticker: KIRLOSIND<br><br>ISIN: INE250A01039,2018-12-10 13:39:00,2010-06-24,2018-12-10
KITEX,Kitex Garments Limited,Historical prices for Kitex Garments Limited<br><br>National Stock Exchange of India<br><br>Ticker: KITEX<br><br>ISIN: INE602G01020,2018-12-10 13:39:00,2012-09-25,2018-12-10
KITPLYIND,Kitply Industries Limited,"Historical prices for Kitply Industries Limited (KITPLYIND), (ISIN: INE147B01019),  National Stock Exchange of India.",2014-03-31 18:29:08,1998-03-20,2013-04-05
KKCL,Kewal Kiran Clothing Limited,Historical prices for Kewal Kiran Clothing Limited<br><br>National Stock Exchange of India<br><br>Ticker: KKCL<br><br>ISIN: INE401H01017,2018-12-10 13:39:00,2006-04-13,2018-12-10
KLGSYSTEL,KLG Systel Limited,"Historical prices for KLG Systel Limited (KLGSYSTEL), (ISIN: INE799A01019),  National Stock Exchange of India.",2014-03-31 18:01:45,1999-09-08,2013-04-05
KLRF,KLRF Limited,"Historical prices for KLRF Limited (KLRF), (ISIN: INE014E01015),  National Stock Exchange of India.",2015-03-09 09:43:41,2010-03-02,2015-01-28
KMSUGAR,K.M.Sugar Mills Limited,Historical prices for K.M.Sugar Mills Limited<br><br>National Stock Exchange of India<br><br>Ticker: KMSUGAR<br><br>ISIN: INE157H01023,2018-12-10 13:39:00,2007-05-31,2018-12-10
KNRCON,KNR Constructions Limited,Historical prices for KNR Constructions Limited<br><br>National Stock Exchange of India<br><br>Ticker: KNRCON<br><br>ISIN: INE634I01029,2018-12-10 13:39:00,2008-02-18,2018-12-10
KOHINOOR,Kohinoor Foods Limited,Historical prices for Kohinoor Foods Limited<br><br>National Stock Exchange of India<br><br>Ticker: KOHINOOR<br><br>ISIN: INE080B01012,2018-12-10 13:39:00,2006-08-18,2018-12-10
KOKUYOCMLN,Kokuyo Camlin Limited,Historical prices for Kokuyo Camlin Limited<br><br>National Stock Exchange of India<br><br>Ticker: KOKUYOCMLN<br><br>ISIN: INE760A01029,2018-12-10 13:39:00,2012-02-14,2018-12-10
KOLTEPATIL,Kolte - Patil Developers Limited,Historical prices for Kolte - Patil Developers Limited<br><br>National Stock Exchange of India<br><br>Ticker: KOLTEPATIL<br><br>ISIN: INE094I01018,2018-12-10 13:39:00,2007-12-13,2018-12-10
KOPDRUGS,KDL Biotech Limited,"Historical prices for KDL Biotech Limited (KOPDRUGS), (ISIN: INE746A01010),  National Stock Exchange of India.",2013-08-27 12:42:35,2000-04-12,2013-04-05
KOPRAN,Kopran Limited,Historical prices for Kopran Limited<br><br>National Stock Exchange of India<br><br>Ticker: KOPRAN<br><br>ISIN: INE082A01010,2018-12-10 13:39:00,1998-03-20,2018-12-10
KOTAKBANK,Kotak Mahindra Bank Limited,Historical prices for Kotak Mahindra Bank Limited<br><br>National Stock Exchange of India<br><br>Ticker: KOTAKBANK<br><br>ISIN: INE237A01028,2018-12-10 13:39:00,2003-04-21,2018-12-10
KOTAKBKETF,Kotak Mahindra MF - Kotak Banking ETF - Dividend Payout Option,Historical prices for Kotak Mahindra MF - Kotak Banking ETF - Dividend Payout Option<br><br>National Stock Exchange of India<br><br>Ticker: KOTAKBKETF<br><br>ISIN: INF174K01F59,2018-12-10 13:39:00,2014-12-11,2018-12-10
KOTAKGOLD,Kotak Mutual Fund - Gold Exchange Traded Fund,Historical prices for Kotak Mutual Fund - Gold Exchange Traded Fund<br><br>National Stock Exchange of India<br><br>Ticker: KOTAKGOLD<br><br>ISIN: INF373I01049,2018-12-10 13:39:00,2007-08-08,2018-12-10
KOTAKNIFTY,Kotak Mahindra Mutual Fund-Kotak Nifty ETF,Historical prices for Kotak Mahindra Mutual Fund-Kotak Nifty ETF<br><br>National Stock Exchange of India<br><br>Ticker: KOTAKNIFTY<br><br>ISIN: INF174K014P6,2018-12-10 13:39:00,2010-02-11,2018-12-10
KOTAKNV20,KOTAKMAMC - KTKNV20ETF,Historical prices for KOTAKMAMC - KTKNV20ETF<br><br>National Stock Exchange of India<br><br>Ticker: KOTAKNV20<br><br>ISIN: INF174K01Z71,2018-12-10 13:39:00,2015-12-09,2018-12-10
KOTAKPSUBK,Kotak Mahindra Mutual Fund,Historical prices for Kotak Mahindra Mutual Fund<br><br>National Stock Exchange of India<br><br>Ticker: KOTAKPSUBK<br><br>ISIN: INF373I01023,2018-12-10 13:39:00,2007-11-16,2018-12-10
KOTARISUG,Kothari Sugars And Chemicals Limited,Historical prices for Kothari Sugars And Chemicals Limited<br><br>National Stock Exchange of India<br><br>Ticker: KOTARISUG<br><br>ISIN: INE419A01022,2018-12-10 13:39:00,2004-12-13,2018-12-10
KOTHARIPET,Kothari Petrochemicals Limited,Historical prices for Kothari Petrochemicals Limited<br><br>National Stock Exchange of India<br><br>Ticker: KOTHARIPET<br><br>ISIN: INE720A01015,2018-12-10 13:39:00,1998-03-10,2018-12-10
KOTHARIPRO,Kothari Products Limited,Historical prices for Kothari Products Limited<br><br>National Stock Exchange of India<br><br>Ticker: KOTHARIPRO<br><br>ISIN: INE823A01017,2018-12-10 13:39:00,1998-06-04,2018-12-10
KOUTONS,Koutons Retail India Limited,"Historical prices for Koutons Retail India Limited (KOUTONS), (ISIN: INE406I01014),  National Stock Exchange of India.",2014-03-31 17:55:48,2007-10-12,2013-09-16
KOVAI,Kovai Medical Center & Hospital Limited,"Historical prices for Kovai Medical Center & Hospital Limited (KOVAI), (ISIN: INE177F01017),  National Stock Exchange of India.",2015-03-09 09:29:30,2010-03-02,2015-01-29
KPIT,KPIT Technologies Limited,Historical prices for KPIT Technologies Limited<br><br>National Stock Exchange of India<br><br>Ticker: KPIT<br><br>ISIN: INE836A01035,2018-12-10 13:39:00,1999-11-24,2018-12-10
KPRMILL,K.P.R. Mill Limited,Historical prices for K.P.R. Mill Limited<br><br>National Stock Exchange of India<br><br>Ticker: KPRMILL<br><br>ISIN: INE930H01023,2018-12-10 13:39:00,2007-08-28,2018-12-10
KRBL,KRBL Limited,Historical prices for KRBL Limited<br><br>National Stock Exchange of India<br><br>Ticker: KRBL<br><br>ISIN: INE001B01026,2018-12-10 13:39:00,2002-01-24,2018-12-10
KREBSBIO,Krebs Biochemicals and Industries Limited,Historical prices for Krebs Biochemicals and Industries Limited<br><br>National Stock Exchange of India<br><br>Ticker: KREBSBIO<br><br>ISIN: INE268B01013,2018-12-10 13:39:00,2016-12-12,2018-12-10
KRIDHANINF,Kridhan Infra Limited,Historical prices for Kridhan Infra Limited<br><br>National Stock Exchange of India<br><br>Ticker: KRIDHANINF<br><br>ISIN: INE524L01026,2018-12-10 13:39:00,2015-12-11,2018-12-10
KRISHNAENG,Krishna Engineering Works Limited,Historical prices for Krishna Engineering Works Limited<br><br>National Stock Exchange of India<br><br>Ticker: KRISHNAENG<br><br>ISIN: INE409C01011,2015-12-21 16:00:16,1998-03-20,2014-10-09
KRITIIND,Kriti Industries (India) Limited,"Historical prices for Kriti Industries (India) Limited (KRITIIND), (ISIN: INE479D01038),  National Stock Exchange of India.",2015-03-09 10:01:31,2011-10-25,2015-01-29
KSB,Ksb Limited,Historical prices for Ksb Limited<br><br>National Stock Exchange of India<br><br>Ticker: KSB<br><br>ISIN: INE999A01015,2018-12-10 13:39:00,2018-10-23,2018-12-10
KSBPUMPS,Ksb Limited,Historical prices for Ksb Limited<br><br>National Stock Exchange of India<br><br>Ticker: KSBPUMPS<br><br>ISIN: INE999A01015,2018-10-23 13:38:52,1998-03-20,2018-10-22
KSCL,Kaveri Seed Company Limited,Historical prices for Kaveri Seed Company Limited<br><br>National Stock Exchange of India<br><br>Ticker: KSCL<br><br>ISIN: INE455I01029,2018-12-10 13:39:00,2007-10-04,2018-12-10
KSE,KSE Limited,"Historical prices for KSE Limited (KSE), (ISIN: INE953E01014),  National Stock Exchange of India.",2015-03-09 09:15:04,2009-11-05,2015-01-29
KSERASERA,KSS Limited,Historical prices for KSS Limited<br><br>National Stock Exchange of India<br><br>Ticker: KSERASERA<br><br>ISIN: INE216D01026,2018-12-10 13:39:00,2011-03-07,2018-12-10
KSK,KSK Energy Ventures Limited,Historical prices for KSK Energy Ventures Limited<br><br>National Stock Exchange of India<br><br>Ticker: KSK<br><br>ISIN: INE143H01015,2018-12-10 13:39:00,2008-07-14,2018-12-10
KSL,Kalyani Steels Limited,Historical prices for Kalyani Steels Limited<br><br>National Stock Exchange of India<br><br>Ticker: KSL<br><br>ISIN: INE907A01026,2018-12-10 13:39:00,2010-05-19,2018-12-10
KSOILS,K S Oils Limited,"Historical prices for K S Oils Limited (KSOILS), (ISIN: INE727D01022),  National Stock Exchange of India.",2014-03-31 17:55:38,2007-04-02,2013-06-20
KTIL,Kesar Terminals & Infrastructure Limited,Historical prices for Kesar Terminals & Infrastructure Limited<br><br>National Stock Exchange of India<br><br>Ticker: KTIL<br><br>ISIN: INE096L01025,2018-12-10 13:39:00,2010-12-22,2018-12-10
KTKBANK,The Karnataka Bank Limited,Historical prices for The Karnataka Bank Limited<br><br>National Stock Exchange of India<br><br>Ticker: KTKBANK<br><br>ISIN: INE614B01018,2018-12-10 13:39:00,2000-05-10,2018-12-10
KTKNV20ETF,KOTAKMAMC - KTKNV20ETF,Historical prices for KOTAKMAMC - KTKNV20ETF<br><br>National Stock Exchange of India<br><br>Ticker: KTKNV20ETF<br><br>ISIN: INF174K01Z71,2015-12-17 15:54:43,2015-12-09,2015-12-17
KWALITY,kwality limited,Historical prices for kwality limited<br><br>National Stock Exchange of India<br><br>Ticker: KWALITY<br><br>ISIN: INE775B01025,2018-12-10 13:39:00,2010-01-08,2018-12-10
LAKPRE,Lakshmi Precision Screws Limited,Historical prices for Lakshmi Precision Screws Limited<br><br>National Stock Exchange of India<br><br>Ticker: LAKPRE<br><br>ISIN: INE651C01018,2018-12-10 13:39:00,2006-09-26,2018-12-10
LAKSHMIEFL,Lakshmi Energy and Foods Limited,Historical prices for Lakshmi Energy and Foods Limited<br><br>National Stock Exchange of India<br><br>Ticker: LAKSHMIEFL<br><br>ISIN: INE992B01026,2018-11-23 13:41:52,2007-02-06,2018-11-22
LAKSHMIFIN,The Lakshmi Finance & Industrial Corporation Limited,"Historical prices for The Lakshmi Finance & Industrial Corporation Limited (LAKSHMIFIN), (ISIN: INE850E01012),  National Stock Exchange of India.",2015-03-09 09:05:28,2010-06-30,2015-01-29
LAKSHMIMIL,The Lakshmi Mills Company Limited,"Historical prices for The Lakshmi Mills Company Limited (LAKSHMIMIL), (ISIN: INE938C01019),  National Stock Exchange of India.",2015-03-09 09:22:31,2009-11-13,2015-01-29
LAKSHVILAS,Lakshmi Vilas Bank Limited,Historical prices for Lakshmi Vilas Bank Limited<br><br>National Stock Exchange of India<br><br>Ticker: LAKSHVILAS<br><br>ISIN: INE694C01018,2018-12-10 13:39:00,1998-03-20,2018-12-10
LALPATHLAB,Dr. Lal Path Labs Ltd.,Historical prices for Dr. Lal Path Labs Ltd.<br><br>National Stock Exchange of India<br><br>Ticker: LALPATHLAB<br><br>ISIN: INE600L01024,2018-12-10 13:39:00,2015-12-23,2018-12-10
LAMBODHARA,Lambodhara Textiles Limited,Historical prices for Lambodhara Textiles Limited<br><br>National Stock Exchange of India<br><br>Ticker: LAMBODHARA<br><br>ISIN: INE112F01022,2018-12-10 13:39:00,2015-02-04,2018-12-10
LANCOIN,Lanco Industries Limited,"Historical prices for Lanco Industries Limited (LANCOIN), (ISIN: INE943C01027),  National Stock Exchange of India.",2015-03-09 10:12:07,2007-08-28,2014-12-16
LAOPALA,La Opala RG Limited,Historical prices for La Opala RG Limited<br><br>National Stock Exchange of India<br><br>Ticker: LAOPALA<br><br>ISIN: INE059D01020,2018-12-10 13:39:00,2007-03-16,2018-12-10
LASA,Lasa Supergenerics Limited,Historical prices for Lasa Supergenerics Limited<br><br>National Stock Exchange of India<br><br>Ticker: LASA<br><br>ISIN: INE670X01014,2018-12-10 13:39:00,2017-09-21,2018-12-10
LAURUSLABS,Laurus Labs Limited,Historical prices for Laurus Labs Limited<br><br>National Stock Exchange of India<br><br>Ticker: LAURUSLABS<br><br>ISIN: INE947Q01010,2018-12-10 13:39:00,2016-12-19,2018-12-10
LAXMIMACH,Lakshmi Machine Works Limited,Historical prices for Lakshmi Machine Works Limited<br><br>National Stock Exchange of India<br><br>Ticker: LAXMIMACH<br><br>ISIN: INE269B01029,2018-12-10 13:39:00,1998-03-20,2018-12-10
LCCINFOTEC,LCC Infotech Limited,Historical prices for LCC Infotech Limited<br><br>National Stock Exchange of India<br><br>Ticker: LCCINFOTEC<br><br>ISIN: INE938A01021,2018-07-02 13:33:30,2000-03-02,2018-07-02
LEEL,LEEL Electricals Limited,Historical prices for LEEL Electricals Limited<br><br>National Stock Exchange of India<br><br>Ticker: LEEL<br><br>ISIN: INE245C01019,2018-12-10 13:39:00,2017-06-19,2018-12-10
LEMONTREE,Lemon Tree Hotels Limited,Historical prices for Lemon Tree Hotels Limited<br><br>National Stock Exchange of India<br><br>Ticker: LEMONTREE<br><br>ISIN: INE970X01018,2018-12-10 13:39:00,2018-04-09,2018-12-10
LFIC,Lakshmi Finance & Industrial Corporation Limited,Historical prices for Lakshmi Finance & Industrial Corporation Limited<br><br>National Stock Exchange of India<br><br>Ticker: LFIC<br><br>ISIN: INE850E01012,2018-12-10 13:39:00,2015-06-22,2018-12-04
LGBBROSLTD,LG Balakrishnan & Bros Limited,Historical prices for LG Balakrishnan & Bros Limited<br><br>National Stock Exchange of India<br><br>Ticker: LGBBROSLTD<br><br>ISIN: INE337A01034,2018-12-10 13:39:00,2010-03-30,2018-12-10
LGBFORGE,LGB Forge Limited,Historical prices for LGB Forge Limited<br><br>National Stock Exchange of India<br><br>Ticker: LGBFORGE<br><br>ISIN: INE201J01017,2018-12-10 13:39:00,2008-08-01,2018-12-03
LIBERTSHOE,Liberty Shoes Limited,Historical prices for Liberty Shoes Limited<br><br>National Stock Exchange of India<br><br>Ticker: LIBERTSHOE<br><br>ISIN: INE557B01019,2018-12-10 13:39:00,1998-03-20,2018-12-10
LICHSGFIN,LIC Housing Finance Limited,Historical prices for LIC Housing Finance Limited<br><br>National Stock Exchange of India<br><br>Ticker: LICHSGFIN<br><br>ISIN: INE115A01026,2018-12-10 13:39:00,1998-03-20,2018-12-10
LICNETFGSC,LIC NOMURA MF - LIC NOMURA MF G-sec LT ETF - GO,Historical prices for LIC NOMURA MF - LIC NOMURA MF G-sec LT ETF - GO<br><br>National Stock Exchange of India<br><br>Ticker: LICNETFGSC<br><br>ISIN: INF767K01MV5,2018-12-10 13:39:00,2015-06-22,2018-12-10
LICNETFN50,LICNAMC - LICNFENGP,Historical prices for LICNAMC - LICNFENGP<br><br>National Stock Exchange of India<br><br>Ticker: LICNETFN50<br><br>ISIN: INF767K01OS7,2018-12-10 13:39:00,2015-12-07,2018-12-10
LICNETFSEN,LICNAMC - LICNFESGP,Historical prices for LICNAMC - LICNFESGP<br><br>National Stock Exchange of India<br><br>Ticker: LICNETFSEN<br><br>ISIN: INF767K01OT5,2018-12-10 13:39:00,2016-08-03,2018-12-05
LICNFENGP,LICNAMC - LICNFENGP,Historical prices for LICNAMC - LICNFENGP<br><br>National Stock Exchange of India<br><br>Ticker: LICNFENGP<br><br>ISIN: INF767K01OS7,2015-12-28 16:54:24,2015-12-07,2015-12-23
LICNFNHGP,LICNAMC - LICNFNHGP,Historical prices for LICNAMC - LICNFNHGP<br><br>National Stock Exchange of India<br><br>Ticker: LICNFNHGP<br><br>ISIN: INF767K01PC8,2018-12-10 13:39:00,2016-05-26,2018-12-10
LICNMFET,LIC NOMURA MF - LIC NOMURA MF G-sec LT ETF - GO,Historical prices for LIC NOMURA MF - LIC NOMURA MF G-sec LT ETF - GO<br><br>National Stock Exchange of India<br><br>Ticker: LICNMFET<br><br>ISIN: INF767K01MV5,2015-12-28 16:54:24,2015-01-01,2015-12-28
LINCOLN,Lincoln Pharmaceuticals Limited,Historical prices for Lincoln Pharmaceuticals Limited<br><br>National Stock Exchange of India<br><br>Ticker: LINCOLN<br><br>ISIN: INE405C01035,2018-12-10 13:39:00,2015-12-17,2018-12-10
LINCPEN,Linc Pen & Plastics Limited,Historical prices for Linc Pen & Plastics Limited<br><br>National Stock Exchange of India<br><br>Ticker: LINCPEN<br><br>ISIN: INE802B01019,2018-12-10 13:39:00,2015-03-09,2018-12-10
LINDEINDIA,Linde India Limited,Historical prices for Linde India Limited<br><br>National Stock Exchange of India<br><br>Ticker: LINDEINDIA<br><br>ISIN: INE473A01011,2018-12-10 13:39:00,2013-04-10,2018-12-10
LIQUIDBEES,R*Shares Liquid BeES,Historical prices for R*Shares Liquid BeES<br><br>National Stock Exchange of India<br><br>Ticker: LIQUIDBEES<br><br>ISIN: INF732E01037,2018-12-10 13:39:00,2003-07-16,2018-12-10
LIQUIDETF,DSP BLACKROCK LIQUID ETF,Historical prices for DSP BLACKROCK LIQUID ETF<br><br>National Stock Exchange of India<br><br>Ticker: LIQUIDETF<br><br>ISIN: INF740KA1EU7,2018-12-10 13:39:00,2018-04-09,2018-12-10
LITL,Lanco Infratech Limited,Historical prices for Lanco Infratech Limited<br><br>National Stock Exchange of India<br><br>Ticker: LITL<br><br>ISIN: INE785C01048,2018-09-13 13:40:17,2006-11-27,2018-09-12
LIX_15,National Stock Exchange of India (NSE) Stock Index - LIX 15,"Historical indexes for LIX 15 (LIX_15), National Stock Exchange of India (NSE).",2018-12-10 15:01:07,2009-01-01,2018-12-10
LIX15_MIDCAP,National Stock Exchange of India (NSE) Stock Index - LIX15 Midcap,"Historical indexes for LIX15 Midcap (LIX15_Midcap), National Stock Exchange of India (NSE).",2016-03-11 14:00:42,2009-01-01,2016-03-11
LLOYDELENG,Lloyd Electric & Engineering Limited,Historical prices for Lloyd Electric & Engineering Limited<br><br>National Stock Exchange of India<br><br>Ticker: LLOYDELENG<br><br>ISIN: INE245C01019,2017-06-16 13:20:11,1998-03-19,2017-06-16
LLOYDFIN,Lloyds Finance Limited,"Historical prices for Lloyds Finance Limited (LLOYDFIN), (ISIN: INE174A01015),  National Stock Exchange of India.",2013-10-03 16:18:21,1998-03-20,2013-07-05
LLOYDSTEEL,Lloyds Steel Industries Limited,"Historical prices for Lloyds Steel Industries Limited (LLOYDSTEEL), (ISIN: INE292A01015),  National Stock Exchange of India.",2014-03-31 17:45:53,1998-03-20,2013-04-26
LML,LML Limited,Historical prices for LML Limited<br><br>National Stock Exchange of India<br><br>Ticker: LML<br><br>ISIN: INE862A01015,2018-05-21 13:26:52,1998-03-20,2018-05-14
LOGIXMICRO,Logix Microsystems Limited,"Historical prices for Logix Microsystems Limited (LOGIXMICRO), (ISIN: INE848A01014),  National Stock Exchange of India.",2015-07-23 18:30:47,2007-02-05,2015-05-14
LOKESHMACH,Lokesh Machines Limited,Historical prices for Lokesh Machines Limited<br><br>National Stock Exchange of India<br><br>Ticker: LOKESHMACH<br><br>ISIN: INE397H01017,2018-12-10 13:39:00,2006-05-05,2018-12-10
LOTUSEYE,Lotus Eye Hospital and Institute Limited,Historical prices for Lotus Eye Hospital and Institute Limited<br><br>National Stock Exchange of India<br><br>Ticker: LOTUSEYE<br><br>ISIN: INE947I01017,2018-12-10 13:39:00,2008-07-11,2018-12-10
LOVABLE,Lovable Lingerie Limited,Historical prices for Lovable Lingerie Limited<br><br>National Stock Exchange of India<br><br>Ticker: LOVABLE<br><br>ISIN: INE597L01014,2018-12-10 13:39:00,2011-03-24,2018-12-10
LOWVOLIWIN,ICICIPRAMC - LOWVOLIWIN,Historical prices for ICICIPRAMC - LOWVOLIWIN<br><br>National Stock Exchange of India<br><br>Ticker: LOWVOLIWIN<br><br>ISIN: INF109KB10T8,2018-04-09 13:29:21,2017-07-11,2018-04-09
LPDC,Landmark Property Development Company Limited,Historical prices for Landmark Property Development Company Limited<br><br>National Stock Exchange of India<br><br>Ticker: LPDC<br><br>ISIN: INE197J01017,2018-12-10 13:39:00,2008-08-12,2018-12-10
LSIL,Lloyds Steels Industries Limited,Historical prices for Lloyds Steels Industries Limited<br><br>National Stock Exchange of India<br><br>Ticker: LSIL<br><br>ISIN: INE093R01011,2018-12-10 13:39:00,2016-08-01,2018-12-10
LT,Larsen & Toubro Limited,Historical prices for Larsen & Toubro Limited<br><br>National Stock Exchange of India<br><br>Ticker: LT<br><br>ISIN: INE018A01030,2018-12-10 13:39:00,2004-06-23,2018-12-10
LTFH,L&T Finance Holdings Limited,Historical prices for L&T Finance Holdings Limited<br><br>National Stock Exchange of India<br><br>Ticker: LTFH<br><br>ISIN: INE498L01015,2018-12-10 13:39:00,2011-08-12,2018-12-10
LTI,Larsen & Toubro Infotech Limited,Historical prices for Larsen & Toubro Infotech Limited<br><br>National Stock Exchange of India<br><br>Ticker: LTI<br><br>ISIN: INE214T01019,2018-12-10 13:39:00,2016-07-21,2018-12-10
LTTS,L&T Technology Services Limited,Historical prices for L&T Technology Services Limited<br><br>National Stock Exchange of India<br><br>Ticker: LTTS<br><br>ISIN: INE010V01017,2018-12-10 13:39:00,2016-09-23,2018-12-10
LUMAXAUTO,Lumax Automotive Systems Limited,Historical prices for Lumax Automotive Systems Limited<br><br>National Stock Exchange of India<br><br>Ticker: LUMAXAUTO<br><br>ISIN: INE547G01019,2017-05-02 13:25:25,2004-08-24,2017-05-02
LUMAXIND,Lumax Industries Limited,Historical prices for Lumax Industries Limited<br><br>National Stock Exchange of India<br><br>Ticker: LUMAXIND<br><br>ISIN: INE162B01018,2018-12-10 13:39:00,1998-03-20,2018-12-10
LUMAXTECH,Lumax Auto Technologies Limited,Historical prices for Lumax Auto Technologies Limited<br><br>National Stock Exchange of India<br><br>Ticker: LUMAXTECH<br><br>ISIN: INE872H01027,2018-12-10 13:39:00,2007-01-16,2018-12-10
LUPIN,Lupin Limited,Historical prices for Lupin Limited<br><br>National Stock Exchange of India<br><br>Ticker: LUPIN<br><br>ISIN: INE326A01037,2018-12-10 13:39:00,2001-09-10,2018-12-10
LUXIND,Lux Industries Limited,Historical prices for Lux Industries Limited<br><br>National Stock Exchange of India<br><br>Ticker: LUXIND<br><br>ISIN: INE150G01020,2018-12-10 13:39:00,2015-12-01,2018-12-10
LYCOS,Lycos Internet Limited,Historical prices for Lycos Internet Limited<br><br>National Stock Exchange of India<br><br>Ticker: LYCOS<br><br>ISIN: INE425B01027,2018-10-05 13:36:54,2015-05-08,2018-10-05
LYKALABS,Lyka Labs Limited,Historical prices for Lyka Labs Limited<br><br>National Stock Exchange of India<br><br>Ticker: LYKALABS<br><br>ISIN: INE933A01014,2018-12-10 13:39:00,1998-03-20,2018-12-10
LYPSAGEMS,Lypsa Gems & Jewellery Limited,Historical prices for Lypsa Gems & Jewellery Limited<br><br>National Stock Exchange of India<br><br>Ticker: LYPSAGEMS<br><br>ISIN: INE142K01011,2018-12-10 13:39:00,2013-11-05,2018-12-10
M100,Motilal Oswal Mutual Fund - Motilal Oswal MOSt Shares M100 ETF GO,Historical prices for Motilal Oswal Mutual Fund - Motilal Oswal MOSt Shares M100 ETF GO<br><br>National Stock Exchange of India<br><br>Ticker: M100<br><br>ISIN: INF247L01023,2018-12-10 13:39:00,2011-02-04,2018-12-10
M50,Motilal Oswal Mutual Fund - Motilal Oswal MOSt Shares M50 ETF,Historical prices for Motilal Oswal Mutual Fund - Motilal Oswal MOSt Shares M50 ETF<br><br>National Stock Exchange of India<br><br>Ticker: M50<br><br>ISIN: INF247L01536,2018-12-10 13:39:00,2010-07-30,2018-12-10
MAANALU,Maan Aluminium Limited,Historical prices for Maan Aluminium Limited<br><br>National Stock Exchange of India<br><br>Ticker: MAANALU<br><br>ISIN: INE215I01019,2018-12-10 13:39:00,2011-03-16,2018-12-10
MADHAV,Madhav Marbles and Granites Limited,Historical prices for Madhav Marbles and Granites Limited<br><br>National Stock Exchange of India<br><br>Ticker: MADHAV<br><br>ISIN: INE925C01016,2018-12-10 13:39:00,2007-12-20,2018-12-10
MADHUCON,Madhucon Projects Limited,Historical prices for Madhucon Projects Limited<br><br>National Stock Exchange of India<br><br>Ticker: MADHUCON<br><br>ISIN: INE378D01032,2018-12-10 13:39:00,2006-10-05,2018-12-10
MADRASCEM,Madras Cements Limited,"Historical prices for Madras Cements Limited (MADRASCEM), (ISIN: INE331A01037),  National Stock Exchange of India.",2013-12-13 16:29:27,1998-03-20,2013-09-27
MADRASFERT,Madras Fertilizers Limited,Historical prices for Madras Fertilizers Limited<br><br>National Stock Exchange of India<br><br>Ticker: MADRASFERT<br><br>ISIN: INE414A01015,2018-12-10 13:39:00,1998-03-20,2018-12-10
MAGADSUGAR,Magadh Sugar & Energy Limited,Historical prices for Magadh Sugar & Energy Limited<br><br>National Stock Exchange of India<br><br>Ticker: MAGADSUGAR<br><br>ISIN: INE347W01011,2018-12-10 13:39:00,2017-07-28,2018-12-10
MAGMA,Magma Fincorp Limited,Historical prices for Magma Fincorp Limited<br><br>National Stock Exchange of India<br><br>Ticker: MAGMA<br><br>ISIN: INE511C01022,2018-12-10 13:39:00,2004-04-27,2018-12-10
MAGNUM,Magnum Ventures Limited,Historical prices for Magnum Ventures Limited<br><br>National Stock Exchange of India<br><br>Ticker: MAGNUM<br><br>ISIN: INE387I01016,2018-12-10 13:39:01,2007-09-20,2018-12-10
MAHABANK,Bank of Maharashtra,Historical prices for Bank of Maharashtra<br><br>National Stock Exchange of India<br><br>Ticker: MAHABANK<br><br>ISIN: INE457A01014,2018-12-10 13:39:01,2004-04-12,2018-12-10
MAHAPEXLTD,Maha Rashtra Apex Corporation Limited,Historical prices for Maha Rashtra Apex Corporation Limited<br><br>National Stock Exchange of India<br><br>Ticker: MAHAPEXLTD<br><br>ISIN: INE843B01013,2018-12-10 13:39:01,2018-04-05,2018-12-10
MAHASTEEL,Mahamaya Steel Industries Limited,Historical prices for Mahamaya Steel Industries Limited<br><br>National Stock Exchange of India<br><br>Ticker: MAHASTEEL<br><br>ISIN: INE451L01014,2018-12-10 13:39:01,2016-07-01,2018-12-10
