"Date","Price","Open","High","Low","Vol.","Change %"
"Apr 18, 2011","277.96","286.00","290.00","276.88","7.11M","-2.80%"
"Apr 15, 2011","285.98","285.21","291.58","284.32","6.91M","-0.58%"
"Apr 13, 2011","287.66","279.00","289.18","278.87","5.86M","2.02%"
"Apr 11, 2011","281.97","287.44","287.98","280.79","7.89M","-2.75%"
"Apr 08, 2011","289.94","289.20","292.09","287.05","7.83M","0.27%"
"Apr 07, 2011","289.15","286.00","291.60","283.34","6.29M","1.18%"
"Apr 06, 2011","285.79","284.00","288.34","283.00","8.47M","0.29%"
"Apr 05, 2011","284.95","289.60","289.60","281.82","5.04M","-0.51%"
"Apr 04, 2011","286.42","282.22","288.38","281.40","5.46M","1.73%"
"Apr 01, 2011","281.55","282.06","283.40","275.72","5.35M","0.28%"
"Mar 31, 2011","280.77","285.80","288.71","277.21","13.09M","-1.58%"
"Mar 30, 2011","285.29","285.38","286.43","282.71","5.87M","0.30%"
"Mar 29, 2011","284.43","275.52","286.35","275.52","12.47M","2.74%"
"Mar 28, 2011","276.85","274.00","278.46","273.01","7.28M","1.41%"
"Mar 25, 2011","272.99","268.56","273.98","265.39","9.74M","3.45%"
"Mar 24, 2011","263.89","263.64","266.88","261.51","6.04M","0.31%"
"Mar 23, 2011","263.08","259.00","263.50","258.27","4.62M","1.50%"
"Mar 22, 2011","259.18","257.60","261.00","255.60","3.88M","1.29%"
"Mar 21, 2011","255.87","257.60","258.00","252.22","2.94M","0.80%"
"Mar 18, 2011","253.84","259.60","260.00","252.22","7.75M","-1.70%"
"Mar 17, 2011","258.22","260.00","265.67","257.26","8.45M","-2.09%"
"Mar 16, 2011","263.72","258.00","265.00","258.00","7.46M","2.78%"
"Mar 15, 2011","256.59","250.67","259.96","249.14","7.45M","-0.57%"
"Mar 14, 2011","258.07","253.20","259.38","253.20","4.84M","1.95%"
"Mar 11, 2011","253.14","255.20","259.40","251.66","6.34M","-1.51%"
"Mar 10, 2011","257.01","259.43","259.43","255.00","3.47M","-1.22%"
"Mar 09, 2011","260.19","263.40","265.91","258.40","6.67M","-0.80%"
"Mar 08, 2011","262.30","257.20","263.60","256.62","4.93M","2.19%"
"Mar 07, 2011","256.68","261.00","262.00","253.20","5.58M","-3.38%"
"Mar 04, 2011","265.66","264.88","268.20","262.63","8.15M","1.41%"
"Mar 03, 2011","261.96","255.60","264.00","252.22","11.35M","1.63%"
"Mar 01, 2011","257.76","247.00","259.80","246.69","7.06M","5.77%"
"Feb 28, 2011","243.71","246.60","258.66","242.40","9.20M","-1.13%"
"Feb 25, 2011","246.50","241.18","248.80","238.75","8.40M","3.54%"
"Feb 24, 2011","238.07","248.60","250.20","236.00","10.05M","-5.15%"
"Feb 23, 2011","251.00","251.99","255.80","250.26","4.70M","-0.76%"
"Feb 22, 2011","252.93","254.26","258.80","251.60","5.13M","-3.24%"
"Feb 21, 2011","261.39","258.00","262.60","255.60","5.39M","0.78%"
"Feb 18, 2011","259.36","263.60","268.26","258.01","10.50M","-1.57%"
"Feb 17, 2011","263.50","269.77","269.77","258.41","7.38M","1.60%"
"Feb 16, 2011","259.36","253.03","261.00","253.03","8.24M","1.73%"
"Feb 15, 2011","254.96","255.48","257.66","250.06","7.00M","0.37%"
"Feb 14, 2011","254.01","241.42","255.18","241.42","6.55M","3.96%"
"Feb 11, 2011","244.34","233.02","245.94","232.63","7.21M","4.82%"
"Feb 10, 2011","233.11","231.22","238.96","230.00","9.42M","0.42%"
"Feb 09, 2011","232.13","237.00","239.01","230.00","8.80M","-2.52%"
"Feb 08, 2011","238.14","245.02","246.80","236.42","6.33M","-3.08%"
"Feb 07, 2011","245.71","248.48","248.48","243.05","4.91M","0.49%"
"Feb 04, 2011","244.52","249.07","253.66","242.44","9.05M","-2.69%"
"Feb 03, 2011","251.27","243.60","252.68","243.60","4.92M","2.56%"
"Feb 02, 2011","245.01","251.00","251.40","243.21","8.55M","-1.42%"
"Feb 01, 2011","248.53","250.73","251.53","246.80","8.10M","0.04%"
"Jan 31, 2011","248.44","246.41","252.56","245.73","9.72M","-0.90%"
"Jan 28, 2011","250.70","260.00","260.88","248.69","13.02M","-3.50%"
"Jan 27, 2011","259.79","262.80","265.20","257.40","14.38M","0.13%"
"Jan 25, 2011","259.44","265.60","268.80","258.75","13.24M","-2.15%"
"Jan 24, 2011","265.15","257.80","268.95","257.80","16.31M","3.01%"
"Jan 21, 2011","257.41","255.00","258.73","253.20","10.19M","0.15%"
"Jan 20, 2011","257.02","254.80","266.69","251.00","12.91M","0.39%"
"Jan 19, 2011","256.02","256.00","259.40","253.60","7.96M","0.14%"
"Jan 18, 2011","255.65","246.03","259.59","246.03","14.70M","4.01%"
"Jan 17, 2011","245.80","242.40","248.00","240.02","10.32M","2.28%"
"Jan 14, 2011","240.32","253.96","255.40","239.00","13.46M","-5.05%"
"Jan 13, 2011","253.09","261.70","265.52","252.22","5.72M","-3.65%"
"Jan 12, 2011","262.67","261.19","264.57","258.00","12.96M","1.01%"
"Jan 11, 2011","260.04","252.02","265.10","252.00","12.54M","3.63%"
"Jan 10, 2011","250.92","257.00","261.00","249.26","8.07M","-2.03%"
"Jan 07, 2011","256.13","260.07","260.07","252.78","12.05M","-1.93%"
"Jan 06, 2011","261.17","263.27","264.42","260.00","3.97M","-0.39%"
"Jan 05, 2011","262.18","270.20","270.20","260.60","8.75M","-2.75%"
"Jan 04, 2011","269.59","274.58","275.32","268.70","6.92M","-1.44%"
"Jan 03, 2011","273.53","273.00","274.40","268.46","5.27M","1.30%"
"Dec 31, 2010","270.02","267.35","271.60","266.38","4.51M","1.22%"
"Dec 30, 2010","266.76","264.00","267.74","261.02","7.05M","1.63%"
"Dec 29, 2010","262.48","258.11","263.00","258.11","3.94M","1.82%"
"Dec 28, 2010","257.78","264.38","264.38","257.31","3.57M","-2.10%"
"Dec 27, 2010","263.32","265.88","266.00","262.02","2.08M","-0.41%"
"Dec 24, 2010","264.40","260.00","264.96","260.00","2.59M","0.60%"
"Dec 23, 2010","262.82","264.56","264.56","261.93","2.83M","0.19%"
"Dec 22, 2010","262.33","265.60","265.90","260.84","5.86M","-0.51%"
"Dec 21, 2010","263.67","256.18","264.78","256.00","9.31M","3.73%"
"Dec 20, 2010","254.18","262.00","262.00","253.37","7.36M","-2.94%"
"Dec 16, 2010","261.87","260.93","263.94","257.02","9.69M","0.91%"
"Dec 15, 2010","259.52","260.00","264.20","256.01","9.98M","-0.44%"
"Dec 14, 2010","260.67","266.76","266.98","257.04","12.57M","-1.31%"
"Dec 13, 2010","264.13","268.00","271.00","258.62","8.87M","-0.22%"
"Dec 10, 2010","264.71","250.60","266.00","249.60","10.52M","6.25%"
"Dec 09, 2010","249.15","252.48","259.80","245.94","15.67M","-0.46%"
"Dec 08, 2010","250.30","263.80","263.80","248.66","21.47M","-5.51%"
"Dec 07, 2010","264.90","277.00","277.01","261.50","12.16M","-4.19%"
"Dec 06, 2010","276.49","284.94","284.94","275.20","4.69M","-1.69%"
"Dec 03, 2010","281.23","291.07","291.07","277.77","8.02M","-3.38%"
"Dec 02, 2010","291.07","288.20","292.20","284.63","6.65M","2.17%"
"Dec 01, 2010","284.89","274.01","285.78","274.00","5.51M","4.21%"
"Nov 30, 2010","273.37","265.80","277.96","263.04","6.53M","2.84%"
"Nov 29, 2010","265.82","269.79","269.80","264.20","5.47M","-0.14%"
"Nov 26, 2010","266.18","268.20","273.45","259.40","7.35M","-0.89%"
"Nov 25, 2010","268.58","277.04","279.14","267.22","11.47M","-3.03%"
"Nov 24, 2010","276.96","285.60","286.19","274.00","4.93M","-2.60%"
"Nov 23, 2010","284.34","284.20","285.40","276.06","7.07M","-0.62%"
"Nov 22, 2010","286.12","280.00","290.76","274.00","13.82M","3.31%"
"Nov 19, 2010","276.94","286.23","286.23","274.01","13.42M","-2.90%"
"Nov 18, 2010","285.20","299.80","299.80","277.80","25.50M","-2.94%"
"Nov 16, 2010","293.83","306.75","306.79","289.00","7.24M","-3.45%"
"Nov 15, 2010","304.34","300.05","307.00","297.01","3.23M","1.99%"
"Nov 12, 2010","298.40","305.60","305.60","296.29","4.54M","-2.00%"
"Nov 11, 2010","304.48","309.20","311.96","303.50","3.17M","-1.36%"
"Nov 10, 2010","308.68","313.40","313.40","307.26","3.50M","-1.21%"
"Nov 09, 2010","312.46","311.00","313.35","308.20","3.86M","0.41%"
"Nov 08, 2010","311.18","311.80","316.80","307.72","6.48M","0.39%"
"Nov 05, 2010","309.97","311.00","311.77","308.60","366.76K","0.35%"
"Nov 04, 2010","308.88","310.14","311.10","307.62","2.67M","0.54%"
"Nov 03, 2010","307.22","305.63","308.72","305.60","2.66M","0.62%"
"Nov 02, 2010","305.32","304.80","307.50","302.61","5.07M","0.86%"
"Nov 01, 2010","302.72","297.78","304.87","296.42","5.14M","2.89%"
"Oct 29, 2010","294.21","289.76","296.60","286.21","6.05M","1.82%"
"Oct 28, 2010","288.96","291.10","294.24","288.00","9.68M","-0.16%"
"Oct 27, 2010","289.41","292.10","292.54","287.61","3.51M","-0.85%"
"Oct 26, 2010","291.90","294.00","294.05","291.05","4.42M","-0.34%"
"Oct 25, 2010","292.91","293.40","298.00","292.00","4.70M","0.04%"
"Oct 22, 2010","292.80","302.77","302.77","292.20","4.63M","-2.81%"
"Oct 21, 2010","301.26","294.00","302.65","292.00","9.67M","3.51%"
"Oct 20, 2010","291.04","293.00","295.40","290.20","5.25M","-0.91%"
"Oct 19, 2010","293.70","297.80","299.46","292.41","8.20M","-0.91%"
"Oct 18, 2010","296.39","285.40","299.80","285.40","11.20M","-1.34%"
"Oct 15, 2010","300.41","313.00","315.00","299.22","12.53M","-3.95%"
"Oct 14, 2010","312.78","319.00","321.70","311.45","9.51M","-1.56%"
"Oct 13, 2010","317.75","310.20","318.93","309.41","5.14M","2.95%"
"Oct 12, 2010","308.64","313.17","313.18","305.02","4.25M","-0.49%"
"Oct 11, 2010","310.17","315.24","321.10","307.63","10.02M","-1.24%"
"Oct 08, 2010","314.07","314.40","316.74","311.22","5.83M","0.11%"
"Oct 07, 2010","313.74","312.45","316.60","312.20","4.86M","0.41%"
"Oct 06, 2010","312.45","318.00","319.74","310.48","6.78M","-0.83%"
"Oct 05, 2010","315.06","315.42","318.08","314.02","4.33M","-0.11%"
"Oct 04, 2010","315.42","316.40","319.24","314.22","3.69M","0.14%"
"Oct 01, 2010","314.97","307.60","316.80","307.60","5.31M","2.49%"
"Sep 30, 2010","307.32","302.09","308.59","297.49","10.92M","1.73%"
"Sep 29, 2010","302.08","290.04","304.47","290.04","6.44M","0.34%"
"Sep 28, 2010","301.06","300.80","303.98","298.48","6.99M","-0.12%"
"Sep 27, 2010","301.43","303.99","305.36","298.64","4.49M","0.02%"
"Sep 24, 2010","301.37","299.24","302.59","295.08","8.63M","0.78%"
"Sep 23, 2010","299.05","306.40","307.94","297.94","8.31M","-2.25%"
