"Date","Price","Open","High","Low","Vol.","Change %"
"Jun 14, 2016","307.90","303.00","308.40","302.45","1.02M","1.47%"
"Jun 13, 2016","303.45","298.00","305.00","297.15","1.65M","0.63%"
"Jun 10, 2016","301.55","305.00","305.95","300.40","1.65M","-0.59%"
"Jun 09, 2016","303.35","307.65","309.00","302.25","558.78K","-1.40%"
"Jun 08, 2016","307.65","307.90","309.90","305.60","671.35K","0.02%"
"Jun 07, 2016","307.60","305.40","309.00","303.20","1.06M","1.43%"
"Jun 06, 2016","303.25","307.00","311.90","302.15","2.19M","-0.87%"
"Jun 03, 2016","305.90","300.00","306.85","297.80","2.26M","2.21%"
"Jun 02, 2016","299.30","290.00","300.00","289.05","1.92M","3.17%"
"Jun 01, 2016","290.10","289.90","293.00","288.55","887.97K","0.14%"
"May 31, 2016","289.70","298.00","298.00","288.25","2.64M","-2.88%"
"May 30, 2016","298.30","295.55","299.90","292.00","794.15K","0.85%"
"May 27, 2016","295.80","295.70","300.90","292.50","1.33M","0.48%"
"May 26, 2016","294.40","289.55","295.00","289.50","1.39M","1.97%"
"May 25, 2016","288.70","284.35","289.45","282.75","724.72K","1.98%"
"May 24, 2016","283.10","287.30","289.80","281.05","1.03M","-0.88%"
"May 23, 2016","285.60","279.85","286.30","275.50","1.45M","3.07%"
"May 20, 2016","277.10","282.95","285.10","276.20","926.12K","-1.58%"
"May 19, 2016","281.55","288.80","290.25","279.80","1.33M","-1.68%"
"May 18, 2016","286.35","278.20","287.50","278.20","873.56K","1.83%"
"May 17, 2016","281.20","285.90","286.90","280.35","1.09M","-1.32%"
"May 16, 2016","284.95","289.00","289.85","282.60","947.33K","-1.57%"
"May 13, 2016","289.50","289.50","293.70","283.70","1.26M","-0.65%"
"May 12, 2016","291.40","293.55","295.40","289.25","836.97K","-0.58%"
"May 11, 2016","293.10","290.00","293.70","287.10","1.12M","1.02%"
"May 10, 2016","290.15","288.10","292.50","288.10","1.65M","0.83%"
"May 09, 2016","287.75","291.40","295.00","285.90","1.34M","-0.84%"
"May 06, 2016","290.20","283.00","293.00","283.00","2.20M","2.69%"
"May 05, 2016","282.60","283.55","289.00","280.10","1.15M","0.48%"
"May 04, 2016","281.25","288.05","289.90","279.45","1.79M","-3.15%"
"May 03, 2016","290.40","296.15","296.60","287.20","1.70M","-1.94%"
"May 02, 2016","296.15","275.50","299.95","274.40","4.13M","7.38%"
"Apr 29, 2016","275.80","273.05","279.40","271.15","3.46M","2.28%"
"Apr 28, 2016","269.65","275.00","275.00","262.80","4.79M","-1.05%"
"Apr 27, 2016","272.50","266.00","274.50","264.25","1.22M","2.23%"
"Apr 26, 2016","266.55","266.80","269.05","264.45","734.07K","-0.09%"
"Apr 25, 2016","266.80","266.55","269.25","262.55","970.89K","0.72%"
"Apr 22, 2016","264.90","267.60","274.80","263.70","1.36M","-0.86%"
"Apr 21, 2016","267.20","268.00","269.20","262.80","737.90K","-0.02%"
"Apr 20, 2016","267.25","272.40","273.00","264.80","815.58K","-2.34%"
"Apr 18, 2016","273.65","267.95","275.00","267.75","1.50M","2.28%"
"Apr 13, 2016","267.55","265.00","268.70","262.65","1.46M","1.81%"
"Apr 12, 2016","262.80","254.85","263.60","254.75","1.15M","3.71%"
