"Date","Price","Open","High","Low","Vol.","Change %"
"Sep 13, 2011","9,339.70","9,454.45","9,567.50","9,260.90","14.92M","-0.59%"
"Sep 12, 2011","9,395.25","9,550.95","9,550.95","9,347.15","15.02M","-2.93%"
"Sep 09, 2011","9,678.70","9,947.10","9,972.00","9,647.60","17.55M","-2.43%"
"Sep 08, 2011","9,920.05","9,888.55","9,940.25","9,749.20","17.88M","0.62%"
"Sep 07, 2011","9,858.90","9,698.40","9,906.80","9,683.95","18.05M","2.08%"
"Sep 06, 2011","9,657.60","9,556.95","9,695.45","9,364.60","23.33M","0.45%"
"Sep 05, 2011","9,614.05","9,509.00","9,630.05","9,448.75","16.55M","0.34%"
"Sep 02, 2011","9,581.35","9,707.45","9,707.45","9,490.00","21.61M","0.50%"
"Aug 30, 2011","9,533.40","9,466.30","9,565.30","9,355.15","17.15M","2.04%"
"Aug 29, 2011","9,342.45","9,099.85","9,378.10","9,099.85","15.07M","4.10%"
"Aug 26, 2011","8,974.55","9,186.40","9,217.70","8,917.95","16.93M","-2.21%"
"Aug 25, 2011","9,177.25","9,393.35","9,401.15","9,134.95","28.81M","-1.66%"
"Aug 24, 2011","9,331.85","9,453.05","9,561.90","9,275.15","17.18M","-1.65%"
"Aug 23, 2011","9,488.70","9,474.05","9,523.00","9,303.35","19.42M","0.86%"
"Aug 22, 2011","9,407.35","9,422.65","9,466.10","9,224.95","19.17M","0.03%"
"Aug 19, 2011","9,404.85","9,452.70","9,587.70","9,280.25","26.51M","-2.05%"
"Aug 18, 2011","9,601.50","9,987.60","10,002.30","9,564.95","26.09M","-3.53%"
"Aug 17, 2011","9,953.20","10,050.00","10,173.10","9,869.75","19.18M","-1.03%"
"Aug 16, 2011","10,056.40","10,315.10","10,315.10","10,023.00","15.20M","-1.24%"
"Aug 12, 2011","10,182.70","10,469.15","10,469.15","10,131.65","17.19M","-1.51%"
"Aug 11, 2011","10,338.80","10,419.40","10,516.90","10,323.50","14.43M","-1.19%"
"Aug 10, 2011","10,463.20","10,516.45","10,516.45","10,393.70","15.01M","2.62%"
"Aug 09, 2011","10,196.55","9,952.20","10,424.25","9,920.80","24.69M","-0.35%"
"Aug 08, 2011","10,232.30","10,121.40","10,481.50","10,072.45","19.28M","-1.18%"
"Aug 05, 2011","10,354.50","10,306.10","10,392.25","10,150.30","21.69M","-1.73%"
"Aug 04, 2011","10,537.05","10,682.45","10,765.95","10,515.05","12.17M","-0.96%"
"Aug 03, 2011","10,639.55","10,647.90","10,686.40","10,545.15","13.90M","-0.97%"
"Aug 02, 2011","10,743.30","10,902.55","10,902.55","10,720.30","14.55M","-1.79%"
"Aug 01, 2011","10,939.00","11,014.15","11,064.90","10,882.05","11.38M","0.42%"
"Jul 29, 2011","10,893.65","10,820.65","10,968.80","10,758.40","18.57M","0.60%"
"Jul 28, 2011","10,828.50","10,902.60","10,954.25","10,799.85","24.19M","-1.56%"
"Jul 27, 2011","11,000.15","11,126.70","11,139.65","10,961.95","18.02M","-1.03%"
"Jul 26, 2011","11,114.55","11,397.95","11,430.75","11,068.20","20.89M","-2.43%"
"Jul 25, 2011","11,391.80","11,286.25","11,433.10","11,233.35","18.85M","0.88%"
"Jul 22, 2011","11,291.95","11,110.75","11,309.45","11,105.70","20.12M","2.19%"
"Jul 21, 2011","11,049.80","11,159.10","11,193.05","11,021.70","12.41M","-1.03%"
"Jul 20, 2011","11,164.70","11,372.15","11,388.50","11,142.40","10.14M","-1.32%"
"Jul 19, 2011","11,313.85","11,230.05","11,353.75","11,204.75","13.12M","0.76%"
"Jul 18, 2011","11,228.85","11,234.70","11,277.45","11,176.85","7.42M","-0.05%"
"Jul 15, 2011","11,234.55","11,249.40","11,334.60","11,195.50","8.20M","-0.26%"
"Jul 14, 2011","11,263.80","11,121.40","11,385.35","11,072.50","17.43M","1.09%"
"Jul 13, 2011","11,142.25","11,065.20","11,164.25","11,060.90","10.11M","1.09%"
"Jul 12, 2011","11,022.55","11,040.70","11,131.75","10,941.30","11.84M","-1.01%"
"Jul 11, 2011","11,135.50","11,275.00","11,275.00","11,106.85","8.95M","-1.33%"
